index,word,day,correct,tested,definition,example
0,beseech,0,0,0,"to beg, plead, implore",The servant wants to beseech the king for food to feed his starving family.
1,fluster,0,0,0,"to make nervous, embarrassed, or confused",There's nothing you can do or say to fluster Frank.
2,enamored,0,0,0,fond of; feeling love towards,It is not difficult to see why Edward is enamored of her.
3,ineluctable,0,0,0,"certain, inevitable","After being, in turn, anxious, angry, and sometimes morose, he accepts the coming ineluctable defeat with serenity."
4,invidious,0,0,0,"offensive, hateful; tending to cause bitterness and resentment",I was shocked to learn my best friend was spreading invidious rumors about me.
5,plangent,0,0,0,"pounding, thundering, resounding",There was the plangent and echoing sound of sea waves.
6,incumbent,0,0,0,one who holds a specific office at the time spoken of,He defeated the incumbent governor by a large plurality.
7,nugatory,0,0,0,of no value or importance,A nugatory and pointless observation.
8,contentious,0,0,0,"quarrelsome, inclined to argue",The socioeconomic plan had been the subject of contentious debate.
9,denouement,0,0,0,an outcome or solution; the unraveling of a plot,The film's denouement was unsatisfying and ambiguous.
10,predilection,0,0,0,preference,I have a predilection for Asian food.
11,affinity,0,0,0,an attraction to,He has an affinity for the music of Berlioz.
12,sanguine,0,0,0,cheerful; optimistic,She is sanguine about prospects for the global economy.
13,choleric,0,0,0,easily angered,A choleric and self-important little man.
14,physiognomy,0,0,0,facial features,Friends began to notice a change in his physiognomy after he hears the news.
15,temperament,0,0,0,"a person's or animal's nature, especially as it permanently affects their behavior",She had an artistic temperament and so no wonder why she thinks like one.
16,humor,0,0,0,a mood or state of mind,Her good humor vanished.
17,augury,0,0,0,a sign of what will happen in the future; an omen,They heard the sound as an augury of death.
18,cosmopolitan,1,0,0,including or containing people from many different countries,"I have never seen a diverse place as this city, so no wonder it is called the cosmopolitan metropolis."
19,intransigent,1,0,0,unwilling to change one's view,"Her father had tried persuasion, but she was intransigent and refused to listen."
20,mercenary,1,0,0,"primarily concerned with making money, potentially at the expense of ethics",A mercenary Wall St broker.
21,insular,1,0,0,"ingorant of, or uninterested in outside cultures and ideas",Stubbornly insular farming people.
22,capricious,1,0,0,"sudden changes of mood, or behavior",Our livelihood hinges on a capricious boss. It's terrible.
23,clamorous,1,0,0,loud and confused noise,"A jostling, clamorous mob."
24,numinous,1,0,0,having a strong religions or spiritual quality,The strange numinous beauty of this ancient landmark.
25,empirical,1,0,0,"verifiable by observation, not just based on theory",There is empirical evidene to support their arugment.
26,sonorous,1,0,0,imposingly deep and full,He read aloud with a sonorous voice.
27,dearth,1,0,0,"a scarcity, a lack of something","There is a dearth of evidence, so we deemed it worthless."
28,ambiguous,1,0,0,open to more than one interpretation,Confounding variables make the stat ambiguous that people can interpret it differently.
29,gainsay,1,0,0,"deny, contradict",They were so persuasive that it's hard to gainsay their conclusion.
30,sterling,1,0,0,excellent or valuable,"Given their sterling reputation, it's not in our favor to challenge them."
31,prescient,1,0,0,having or showing knowledge of future events,It is a prescient warning about next year global climate situation.
32,proprietary,1,0,0,relating to an owner or ownership,The company has a proprietary rights to the property.
33,didactic,1,0,0,having educational purposes,The didactic novel taught students how to be kind to neighbors as ourselves.
34,perpetuate,1,0,0,"keep alive, make something continue indefinitely",The law was made to perpetuate the interests of the ruling class. it's hard to change the system.
35,feeble,1,0,0,"weak, frail",My legs are very feeble after the flu.
36,turbulent,1,0,0,characterized by conflicts and disorder,The country's turbulent 20 years has come to an end. It's a day to celebrate.
37,augment,1,0,0,make greater by adding to it; increase,He wants to augment his summer income by painting houses when he's not doing his day job.
38,repudiate,1,0,0,refuse to accept or be associated with,She will try to repudiate any policies associated with previous party leaders.
39,brook,1,0,0,tolerate or allow,I would not brook any gossip towards my best friend.
40,wont,1,0,0,in the habit of doing something,I was wont to arise at 5:30 every morning.
41,fecund,1,0,0,fertile,"As an artist, she gets most of her inspiration from nature; her daily walks in the woods are a fecund source of ideas."
42,verisimilitude,1,0,0,the apperance of being true or real,The detail gives the novel a lot of verisimilitude and realism.
43,irascible,1,0,0,having or showing tendency to be easily angered,You don't want to mess with the irascible professor.
44,exasperation,1,0,0,a feeling of intense irratation or arrogance,She rolled her eyes in exasperation when she hears the question about a foundational concept the student should have known 5 weeks ago.
45,decry,2,0,0,publicly denounce,The least a government can do is to decry human rights abuses
46,condone,2,0,0,accept or allow something to continue,The college cannot condone any behavior that involves illicit drugs.
47,explicable,2,0,0,able to be accounted for or understood,The revolutionzing plan he proposed was not really explicable so we didn't really consider it.
48,loath,2,0,0,reluctant; unwilling,I was loath to leave but I had to.
49,censure,2,0,0,the expression of formal disapproval,The celebrity has to consider the possible censure she might get if she comes out of the closet.
50,supplant,2,0,0,supersede and replace something or someone,Another discovery could supplant the original finding.
51,sift,2,0,0,examine something thoroughly so as to isolate that which is most important or useful,"Until we sift the evidence ourselves, we can't comment objectively."
52,neophyte,2,0,0,"a person who is new to a subject, skill, or belief","The four-day beginner cooking class is perfect for me, a neophyte who just wants to learn the basics."
53,zealot,2,0,0,"a person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals","The art patron and collector Peggy Guggenheim was a zealot as she was only for the strangest, the most surprising, the most satisfying, the best, and the unique."
54,motley,2,0,0,incongruously varied in appearance or character; disparate,There is a motley assortment of tools designed to safeguard researchers against their own biases.
55,monolithic,2,0,0,"formed of a single entity, indivisible and uniform",We want to reject any move toward a monolithic European superstate. The power of balance would be broken.
56,nepotism,2,0,0,"the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs",He promised an end to corruption and nepotism by holding a public vote on who's getting chosen.
57,partisanship,2,0,0,"a strong adherence, dedication, or loyalty to a political party","Extreme partisanship is generally regarded as detrimental to the functioning of democratic governments, because people end up blindly support one side."
58,vacillation,2,0,0,the inability to decide between different opinions or actions; indecisive,People don't want a leader with vacillation but a decisive one.
59,futile,2,0,0,incapable of producing any useful result; pointless,It was a futile attempt to change jobs. No one is willing to hire in this climate.
60,flippant,2,0,0,lacking respect or seriousness,"She was infuriated by his careless, flippant and frivolous attitude."
61,discursive,2,0,0,digressing from subject to subject,"A lot of students often write dull, secondhand, discursive prose, so teachers want to teach them the power of brevity and prcise writing."
62,tendentious,2,0,0,"expressing or intending to promote a particular cause or point of view, especially a controversial one",The youtuber is tendentious when talking about the matter between Russia and Ukraine
63,alluring,2,0,0,powerfully and mysteriously attractive or fascinating; seductive,The town offers alluring shops and restaurants. I don't know why I keep wanting to come back to it.
64,invenerate,2,0,0,"having a particular habit, activity, or interest that is long-established and unlikely to change",He was an invenerate gambler but somehow his new girlfriend changed him. He now has a full-time job that is not gambling.
65,exigency,2,0,0,an urgent need or demand,Women worked long hours when the exigency to fill the jobs when the men went to war arose.
66,hodgepodge,2,0,0,a confused mixture,Rob's living room was a hodgepodge of modern furniture and antiques.
67,fractious,2,0,0,irritable and quarrelsome,They are so fractious as they fight and squabble over everything.
68,sagacious,2,0,0,having or showing keen mental discernment and good judgment,They were sagacious enough to avoid any outright confrontation.
69,affable,2,0,0,"friendly, good-natured, or easy to talk to",He is an affable and agreeable companion. I would love to hangout with him more.
70,eroded,2,0,0,gradually wearing away,The cliffs have been eroded by the sea. The erosion is unstoppable.
71,chivalrous,3,0,0,"courteous and gallant, especially toward women",Shall I be chivalrous and offer you my coat.
72,impetuous,3,0,0,acting or done quickly and without thought or care,Her friend was headstrong and impetuous as he never thinks twice.
73,boorish,3,0,0,rough and bad-mannered,The irascible teacher will not condone any boorish behaviors.
74,circumspect,3,0,0,"risk-averse, unwilling to take risks",A circumspect trader would not buy Auzuki after the pump; it's not a safe play.
75,forbear,3,0,0,politely or patiently restrain an impulse to do something; refrain,He is so modest that he even decided to forbear to include his own work.
76,jettison,3,0,0,abandon or discard,Individuals are often forced to jettison certain attitudes and behaviors.
77,contrived,3,0,0,deliberately created rather than arising naturally or spontaneously,The ending of the novel is too contrived and too forced.
78,adversarial,3,0,0,involving or characterized by conflict or opposition,Miller reminded his clients that labor relationship are inherently adversarial as the interests of business owners are diametrically opposed to those of employees.
79,untenable,3,0,0,(especially of a postion or view) not able to be maintained or defended against attack or objection,This argument is clearly untenable and thus should be dropped.
80,efficacious,3,0,0,successful in producing a desired or intended result; effective,The vaccine has proved both efficacious and safe
81,dichotomy,3,0,0,a division or contrast between two things that are or are represented as being opposed or entirely different,Although progressive and reactionary populist movements seem like dichotomy they actually share certain features.
82,adduce,3,0,0,cite as evidence,The researcher hopes to adduce at least 5 results to explain the situation.
83,trifling,3,0,0,unimportant or trivial,"Although the introduction of the new fish theorectially would have detrimental effects on other fish, it turns out to be pretty trifling and trivial."
84,conspicuous,3,0,0,standing out so as to be clearly visible,The contribution he showed was conspicuous although he didn't have to speak much.
85,precarious,3,0,0,"not securely held or in position; dangerously likely to fall or collapse, or uncertain, dependent on chance",He made a precarious living as a painter.
86,incommensurable,3,0,0,not able to be judged by the same standard as something,Systems of belief prevalent during different periods in history are incommensurable and therefore cannot be understood except in their own term.
87,acrimony,3,0,0,bitterness or ill feeling,The debate has turned acrimony and finger-pointing. Time to end this.
88,dissension,3,0,0,disagreement that leads to discord,These issues caused bitter dissension in the party.
89,comity,3,0,0,courtesy and considerate behavior toward others,The company suffers from an almost total lack of comity as even the most innocuous communications between departments led to devolve into acrimony.
90,mordant,3,0,0,(a thought) having or showing a sharp or critical quality; biting,"He joined the Extreme Left, and his energy and mordant eloquence speedily made him the leader of the Radical section."
91,extrapolate,4,0,0,extend the application of a method/conclusion to an unknown situation in another field or to predict the future,One way to predict the effects of global climate change on an ecosystem is to extrapolate current trend in global change factors into the future.
92,insurmountable,4,0,0,too great to be overcome,The problem has become insurmountable over time that we should just give up.
93,oust,4,0,0,drive out or expel (someone) from a position or place,He would need to oust a long-term incumbent by at least 5000 votes.
94,belie,4,0,0,fail to give a true notion or impression of (something); disguise or contradict,The useful proteins whose simple names belie their importance and the specificity of their roles in the thinning and clotting of blood.
95,obviate,4,0,0,remove (a need or difficulty),The Venetian blinds obviate the need for curtains
96,accentuate,4,0,0,make more noticeable or prominent,His good manners accentuate how educated he is.
97,undue,4,0,0,unwarranted or inappropriate because excessive or disproportionate,He was giving undue attention to the conversation so I told him to focus on the driving.
98,scant,4,0,0,barely sufficient or adequate,Don't work for companies with scant regard for the safety of future generations.
99,dwindle,4,0,0,"diminish gradually in size, amount, or strength","Traffic is starting to dwindle down, it's time to go out."
100,abbreviate,4,0,0,shorten the duration of; cut short,I decided to abbreviate my stay in Cambridge.
101,felicitous,4,0,0,well-chosen or suited/pleasing and fortunate,The view was the room's only felicitous feature.
102,bolster,4,0,0,support or strengthen; prop up,The improvement in grades is starting to bolster his confidence.
103,corroborate,4,0,0,"confirm or give support to (a statement, theory, or finding)",The witness was there to corroborate the boy's account of the attack.
104,outstrip,4,0,0,exceed,The supply is going to far outstrip the demand.
105,erudite,4,0,0,having or showing great knowledge or learning,Ken could turn any conversation into an erudite discussion.
106,precipitate,4,0,0,"cause (an event or situation, typically one that is bad or undesirable) to happen suddenly, unexpectedly, or prematurely","If the president got involved in the scandal last night, it would precipitate a political crisis."
107,judicious,4,0,0,"having, showing, or done with good judgment or sense",We should listen to the judicious opinion of uncle Iroh.
108,acrimonious,4,0,0,angry and bitter,A simple request for a day off turns an acrimonious dispute about wages.
109,onerous,4,0,0,involving an amount of effort and difficulty that is oppressively burdensome,He found his duties increasingly onerous that he decided to quit before it became unbearable.
110,opaque,4,0,0,not able to be seen through; not transparent,The windows were opaque with steam.
111,magisterial,4,0,0,having or showing great authority,She talked with the magisterial authority of the head of the family.
112,circumvent,4,0,0,"find a way around (an obstacle)/overcome (a problem or difficulty), typically in a clever and surreptitious way",I found it quite easy to circumvent security.
113,draconian,4,0,0,excessively harsh and severe,The Nazis destroyed the independence of the press by a series of draconian laws.
114,rapacious,4,0,0,aggressively greedy or grasping,"However cruel and rapacious the Vikings may have been, the work of disorder and ruin was not all theirs."
115,adjunct,4,0,0,a thing added to something else as a supplementary rather than an essential part,Computer technology is an adjunct to learning. You don't need it as people used to learn a lot without it. But it's nice to have.
116,malady,4,0,0,a disease or ailment,The incurable malady has caused thousands of deaths.
117,assuage,4,0,0,make (an unpleasant feeling) less intense,The annoucement hopefully can assuage the fears of most holders.
118,profess,4,0,0,"to affirm openly; declare or claim, sometimes when this is not the case","I don't profess to be a believer, but I'd like to think I have an open mind."
119,antediluvian,4,0,0,ridiculously old-fashioned,The way they taught the AI class is antediluvian as it is 20 years behind the cutting edge techonology being used in the industry.
120,chauvinistic,4,0,0,feeling or displaying aggressive or exaggerated patriotism,Don't be chauvinistic and instead be open-minded and neutral about international problems.
121,flighty,4,0,0,fickle and irresponsible,You may be seen as too flighty to hold an important responsibility for years.
122,patronizing,4,0,0,apparently kind or helpful but betraying a feeling of superiority; condescending,The tutor seemingly is helpful but super patronizing and low key condescending.
123,discern,4,0,0,perceive or recognize (something),We must discern between the truth and lies.
124,envisaged,4,0,0,contemplated or conceived of as a possibility or a desirable future event,The Rome Treaty envisaged free movement across frontiers.
125,perfidious,5,0,0,deceitful and untrustworthy,She described the new criminal bill as a perfidious attack on democracy.
126,loquacious,5,0,0,tending to talk a great deal; talkative,The interviewer was blown away by his loquacious personality.
127,haphazard,5,0,0,lacking any obvious principle of organization,"The kitchen drawers contained a haphazard collection of silver souvenir spoons, forks, knives, ... pretty any possible things, that don't go together."
128,burlesque,5,0,0,"a parody, an absurd or comically exaggerated imitation of something, especially in a literary or dramatic work",The funniest burlesque of opera.
129,pastiche,5,0,0,"an artistic work consisting of a medley of pieces taken from various sources/an artistic work in a style that imitates that of another work, artist, or period",The film was a pastiche as its elements were assembled more or less haphazardly from a dozen of different sources.
130,esoteric,5,0,0,intended for or likely to be understood by only a small number of people with a specialized knowledge or interest,Some words are really too esoteric for 99 percent of the population.
131,surreptitious,5,0,0,"kept secret, especially because it would not be approved of",They carried on a surreptitious affair.
132,vexatious,5,0,0,"causing or tending to cause annoyance, frustration, or worry",That's such a vexatious question: it needs an answer but it's not easy.
133,apropos,5,0,0,very appropriate to a particular situation,The example is very apropos as nothing else would be better suited here.
134,churlish,5,0,0,rude in a mean-spirited and surly way,It seems churlish to complain even though the waiter meant no bad intentions.
135,cagey,5,0,0,reluctant to give information owing to caution or suspicion,I'm cagey to tell him what I really think about the situation as I don't fully trust the guy.
136,pugnacious,5,0,0,"eager or quick to argue, quarrel, or fight",Lawyers sometimes are not the most pugnacious as they only argue when it's necessary.
137,complacent,5,0,0,showing smug or uncritical satisfaction with oneself or one's achievements,"When I lived far away from my strict parents, I slowly became more complacent and okay with being mediocre."
138,truculent,5,0,0,eager or quick to argue or fight; aggressively defiant and resistant,He became very truculent and started arguing with me angrily.
139,arduous,5,0,0,involving or requiring strenuous effort; difficult and tiring,An arduous and tiring journey has come to a rewarding end.
140,stave-off,5,0,0,avert or delay something bad or dangerous,A reassuring presence can stave-off a panic attack.
141,forestall,5,0,0,prevent or obstruct (an anticipated event or action) by taking action ahead of time,Vitamins may forestall many diseases that comes with aging.
142,illusory,5,0,0,based on illusion; not real,She knew the safety of her room was illusory so she needed to do something.
143,evanescent,5,0,0,"soon passing out of sight, memory, or existence; quickly fading or disappearing",Talk is evanescent while writing leaves footprints.
144,punctilious,5,0,0,showing great attention to detail or correct behavior,I'm always very punctilious in providing every amenity for his guests that I forget to actually talk to them.
145,prosaic,5,0,0,commonplace; unromantic/having the style or diction of prose; lacking poetic beauty,The masses were too preoccupied by prosaic day-to-day concerns
146,arcane,5,0,0,understood by few; mysterious or secret,Modern math and its arcane notations are mysterious to many.
147,quixotic,5,0,0,exceedingly idealistic; unrealistic and impractical,"This is a vast, exciting, and perhaps quixotic project."
148,skullduggery,5,0,0,trickery intended to take advantage of you in some way,He is serving a prison sentence for financial skullduggery that targetted at least 100 people.
149,indolence,5,0,0,avoidance of activity or exertion; laziness,My indolence is defintely the reason why I'm unemployed right now.
150,incivility,5,0,0,rude or unsociable speech or behavior,The strict professor definitely does not condone any incivility from anyone. No exceptions.
151,lethargy,5,0,0,a lack of energy and enthusiasm,"Life is a marathon. As long as you can minimize the lethargy periods, you can always outpace other people."
152,fervor,5,0,0,intense and passionate feeling,He talks about NFTs with so much fervor that people think he's crazy to believe in multi-millions dollars pictures of apes that much.
153,conciliatory,5,0,0,intended or likely to overcome animosity or hostility,Perhaps you should adopt a more conciliatory approach.
154,beguiled,5,0,0,"charmed or enchanted, sometimes in a deceptive way",Every prominent American artist has been beguiled by Maine.
155,buoyed,5,0,0,caused to become cheerful or confident,The party was buoyed by the news that Elon Musk is going to make an apperance.
156,insouciance,5,0,0,casual lack of concern; indifference; the cheerful feeling you have when nothing is troubling you,Neil has an insouciance to not care about every random things.
157,alacrity,5,0,0,brisk and cheerful readiness,They accepted the job offer with alacrity as it was so appealing.
158,pedestrian,5,0,0,lacking inspiration or excitement; dull,"His speech was long, pedestrian and put everyone to sleep."
159,knotty,5,0,0,extremely difficult or intricate,Philosophers have to deal with very knotty ethical questions.
160,vapid,5,0,0,offering nothing that is stimulating or challenging,Math classes in high school cannot be more vapid and boring.
161,inaccessible,5,0,0,difficult to understand or appreciate,A lot of phisophical writing are embedded in a dense English translation of a dense German original that may make many of them inaccessible to most readers.
162,confined,5,0,0,restricted in area or volume; cramped,This hotel room is so confined that I need to get out of here as soon as possible.
163,animosity,5,0,0,strong hostility,"After forcing Forgotten Vayne three games in a row, I felt no animosity towards my critics. I agreed with them that it cannot be any more degenerate than that."
